,track_name,artist,duration,popularity,release_date,mp3,track_id,artist_id
101,San Luis,Gregory Alan Isakov,272346,66,2018-10-05,https://p.scdn.co/mp3-preview/8f791306e81307c99a084a150505c74a34ff3a43?cid=80aa7a928c4541428fab1590b72d13b5,7gDNQLV9cr8449LFrQbk5J,5sXaGoRLSpd7VeyZrLkKwt
102,Big Black Car,Gregory Alan Isakov,217466,65,2009-05-15,https://p.scdn.co/mp3-preview/33d0366daf0a31c0c7ef3d3dfd3661a1ff684f22?cid=80aa7a928c4541428fab1590b72d13b5,3Kj2EWpIBnvETsYq4cq0IH,5sXaGoRLSpd7VeyZrLkKwt
103,The Stable Song,Gregory Alan Isakov,360933,65,2007-01-01,https://p.scdn.co/mp3-preview/960d79488c14b3372b6a2b2b56e8e282e1af7bc0?cid=80aa7a928c4541428fab1590b72d13b5,3G9ETaH55bMQx8hwNhAgbU,5sXaGoRLSpd7VeyZrLkKwt
104,"If I Go, I'm Goin",Gregory Alan Isakov,267160,59,2009-05-15,https://p.scdn.co/mp3-preview/b2972abe9d8c2898d9399066cd7b7d65202857f9?cid=80aa7a928c4541428fab1590b72d13b5,1vqtj4c5aNPKkLS2LXkd4E,5sXaGoRLSpd7VeyZrLkKwt
105,Dandelion Wine,Gregory Alan Isakov,184906,57,2009-05-15,https://p.scdn.co/mp3-preview/bebffdfd417b12a51f2641d1f7c27611566e3215?cid=80aa7a928c4541428fab1590b72d13b5,5AeoHJUx0PJXAzN425xryh,5sXaGoRLSpd7VeyZrLkKwt
106,Amsterdam,Gregory Alan Isakov,198640,55,2013-07-09,https://p.scdn.co/mp3-preview/6a78bb02925e602ccefab3a4d7eb72df322f366e?cid=80aa7a928c4541428fab1590b72d13b5,7iQmjnDXYngWGsbjVnDc1U,5sXaGoRLSpd7VeyZrLkKwt
107,Virginia May,Gregory Alan Isakov,178346,55,2009-05-15,https://p.scdn.co/mp3-preview/0e9f864e220cbd616ba6c072b4eedc722b602df6?cid=80aa7a928c4541428fab1590b72d13b5,435XaJ1Mqo5Pd7AwRE7nrF,5sXaGoRLSpd7VeyZrLkKwt
108,Berth,Gregory Alan Isakov,293693,53,2018-10-05,https://p.scdn.co/mp3-preview/ceae1475882e681c38b25fe68788a99cafa5aaf8?cid=80aa7a928c4541428fab1590b72d13b5,77A5mKz70kQRtCS6e985RM,5sXaGoRLSpd7VeyZrLkKwt
109,Southern Star,Gregory Alan Isakov,139240,52,2018-10-05,https://p.scdn.co/mp3-preview/a65aea4059851e9649e0bd07ba2f1b50b15ff247?cid=80aa7a928c4541428fab1590b72d13b5,6YXbSjabsKQ1pNvj6zcJ9V,5sXaGoRLSpd7VeyZrLkKwt
110,Brand New Man - with Luke Combs,Brooks & Dunn,191053,73,2019-04-05,https://p.scdn.co/mp3-preview/20f3865bebd50d0f378448b2fce020d41954ac5c?cid=80aa7a928c4541428fab1590b72d13b5,001UkMQHw4zXfFNdKpwXAF,0XKOBt59crntr7HQXXO8Yz
